,fid_code,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,il_2017,il_2018,il_2019,il_2020,il_2021,il_2022,fmr_2017,fmr_2018,fmr_2019,fmr_2020,fmr_2021,fmr_2022,ratio_2017,ratio_2018,ratio_2019,ratio_2020,ratio_2021,ratio_2022,slope
0,0100199999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,59700.0,62900.0,65900.0,65700,67600.0,75500.0,587.0,588.0,581.0,583.0,640.0,643.0,0.11798994974874372,0.11217806041335453,0.10579666160849772,0.10648401826484018,0.1136094674556213,0.10219867549668875,-0.00017613046065984372
0,0100399999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,61500.0,69400.0,80500.0,81000,74300.0,85500.0,807.0,729.0,756.0,744.0,718.0,772.0,0.15746341463414634,0.12605187319884725,0.11269565217391304,0.11022222222222222,0.11596231493943472,0.10835087719298246,-0.0006626304569898502
0,0100599999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,46100.0,44500.0,45200.0,43800,46400.0,46400.0,501.0,491.0,500.0,477.0,488.0,532.0,0.130412147505423,0.13240449438202248,0.13274336283185842,0.13068493150684932,0.12620689655172415,0.1375862068965517,3.6235886047006756e-05
0,0100799999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,63100.0,71000.0,74400.0,73100,78000.0,84800.0,665.0,692.0,706.0,804.0,817.0,765.0,0.12646592709984153,0.11695774647887323,0.11387096774193549,0.13198358413132694,0.1256923076923077,0.10825471698113208,-0.00011128512039014061
0,0100999999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,63100.0,71000.0,74400.0,73100,78000.0,84800.0,665.0,692.0,706.0,804.0,817.0,765.0,0.12646592709984153,0.11695774647887323,0.11387096774193549,0.13198358413132694,0.1256923076923077,0.10825471698113208,-0.00011128512039014061
0,0101199999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,46100.0,44300.0,43800.0,42900,44500.0,48200.0,491.0,483.0,492.0,474.0,532.0,589.0,0.12780911062906725,0.1308352144469526,0.13479452054794522,0.13258741258741258,0.14346067415730338,0.14663900414937758,0.0003090922351716198
0,0101399999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,40900.0,42300.0,44300.0,45800,48400.0,56100.0,464.0,453.0,473.0,474.0,479.0,530.0,0.13613691931540342,0.12851063829787235,0.12812641083521445,0.12419213973799127,0.1187603305785124,0.11336898395721925,-0.0003500592167767371
0,0101599999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,53000.0,56800.0,56200.0,61500,63700.0,68800.0,437.0,477.0,457.0,468.0,482.0,562.0,0.0989433962264151,0.10077464788732395,0.09758007117437723,0.0913170731707317,0.09080062794348509,0.09802325581395349,-9.710895213683198e-05
0,0101799999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,44700.0,48200.0,50800.0,51900,53700.0,59500.0,476.0,440.0,467.0,486.0,534.0,655.0,0.12778523489932886,0.10954356846473029,0.11031496062992126,0.11236994219653179,0.11932960893854748,0.13210084033613445,0.00012616935755265844
0,0101999999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,46800.0,47900.0,51400.0,53400,54800.0,61700.0,464.0,453.0,472.0,462.0,479.0,530.0,0.11897435897435897,0.11348643006263048,0.11019455252918288,0.10382022471910113,0.10489051094890511,0.10307941653160453,-0.00026580189848817007
0,0102199999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,52700.0,54600.0,55300.0,56100,56700.0,61100.0,484.0,506.0,517.0,594.0,595.0,583.0,0.11020872865275143,0.11120879120879121,0.1121880650994575,0.12705882352941175,0.1259259259259259,0.11450081833060556,0.00019162526421577348
0,0102399999,2017.0,2018.0,2019.0,2020,2021.0,2022.0,52500.0,49700.0,49800.0,48500,51400.0,52000.0,512.0,506.0,498.0,466.0,479.0,530.0,0.11702857142857143,0.12217303822937625,0.12,0.11529896907216494,0.11182879377431906,0.12230769230769231,-2.223371404143443e-05
