,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,485,575,764,1088,1168,2017
0,494,582,774,1095,1207,2018
0,522,614,812,1155,1266,2019
0,506,590,777,1104,1221,2020
0,524,602,794,1134,1272,2021
0,541,619,814,1156,1358,2022
