,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,566,617,820,1026,1366,2017
0,565,605,805,1018,1324,2018
0,598,621,822,1064,1367,2019
0,631,655,863,1134,1464,2020
0,707,733,955,1285,1639,2021
0,688,732,945,1288,1598,2022
