,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,445,512,681,991,1039,2017
0,461,526,700,1018,1065,2018
0,485,553,731,1030,1062,2019
0,471,541,713,933,966,2020
0,487,560,738,927,1001,2021
0,527,603,793,980,1075,2022
