,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,484,538,621,904,1094,2017
0,506,551,633,921,1115,2018
0,517,549,628,908,1103,2019
0,594,627,714,1030,1122,2020
0,595,625,713,1020,1061,2021
0,583,619,705,978,982,2022
