,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,518,549,633,792,1115,2017
0,556,596,684,917,1205,2018
0,596,611,700,1001,1230,2019
0,609,627,714,1030,1254,2020
0,601,615,701,1003,1214,2021
