,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,623,772,982,1328,1354,2017
0,561,695,884,1195,1219,2018
0,505,626,796,1076,1098,2019
0,521,607,800,1038,1084,2020
0,623,628,827,1074,1144,2021
0,637,641,844,1105,1155,2022
