,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,651,746,918,1266,1573,2017
0,656,718,871,1194,1509,2018
0,592,702,846,1176,1486,2019
0,612,780,924,1302,1622,2020
0,593,737,868,1242,1503,2021
0,605,728,856,1216,1465,2022
