,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,887,1080,1260,1699,2167,2017
0,938,1126,1329,1792,2263,2018
0,874,1102,1325,1821,2287,2019
0,865,1091,1328,1856,2275,2020
0,891,1102,1343,1892,2258,2021
0,1058,1126,1372,1920,2218,2022
