,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,659,688,884,1183,1520,2017
0,678,709,920,1208,1620,2018
0,697,736,945,1241,1660,2019
0,646,689,879,1175,1543,2020
0,681,748,927,1274,1605,2021
0,706,803,971,1369,1662,2022
