,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,888,1103,1377,1723,2161,2017
0,1026,1280,1609,2017,2512,2018
0,1017,1253,1583,1983,2498,2019
0,1140,1360,1749,2187,2680,2020
0,1138,1350,1725,2171,2557,2021
0,1203,1412,1810,2291,2487,2022
