,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,436,595,687,935,1210,2017
0,468,639,734,952,1272,2018
0,513,698,799,1029,1351,2019
0,513,658,749,1008,1266,2020
0,564,652,743,1007,1140,2021
