,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,1194,1372,1691,2116,2331,2017
0,1253,1421,1740,2182,2370,2018
0,1394,1561,1902,2383,2571,2019
0,1715,1900,2311,2880,3131,2020
0,1742,1924,2336,2906,3168,2021
0,1803,1986,2399,2966,3253,2022
