,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,890,1024,1305,1633,1799,2017
0,815,929,1187,1488,1619,2018
0,920,1057,1357,1700,1834,2019
0,970,1117,1438,1792,1948,2020
0,984,1148,1474,1833,1999,2021
0,1040,1219,1565,1935,2122,2022
