,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,595,634,800,1065,1251,2017
0,536,600,750,991,1161,2018
0,499,623,777,1020,1189,2019
0,517,640,794,1044,1184,2020
0,540,650,819,1085,1198,2021
0,543,637,818,1097,1195,2022
