,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,888,1018,1293,1882,2278,2017
0,923,1035,1337,1945,2355,2018
0,931,1005,1313,1898,2306,2019
0,935,991,1305,1883,2291,2020
0,877,926,1220,1746,2112,2021
0,877,948,1248,1773,2136,2022
