,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,442,490,620,853,1090,2017
0,467,479,620,857,981,2018
0,464,467,618,847,932,2019
0,476,479,631,875,926,2020
0,500,503,663,940,1083,2021
0,509,512,674,957,1061,2022
