,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,567,580,686,900,1209,2017
0,584,615,707,951,1245,2018
0,618,650,744,1048,1307,2019
0,614,632,719,1021,1262,2020
0,585,630,718,1028,1243,2021
0,647,667,760,1067,1301,2022
