,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,562,661,822,1084,1343,2017
0,542,656,806,1053,1302,2018
0,585,694,847,1099,1344,2019
0,599,686,832,1081,1305,2020
0,636,694,838,1092,1306,2021
0,721,742,883,1148,1380,2022
