,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,491,515,646,878,936,2017
0,513,517,650,840,902,2018
0,522,526,683,871,966,2019
0,470,535,687,882,1018,2020
0,472,545,715,935,1072,2021
0,558,562,739,1001,1099,2022
